Entity,Year,EducationT,PrimaryT,Continent
Afghanistan,2015,3.2558,1.84589,Asia
Afghanistan,2016,3.51198,1.83096,Asia
Afghanistan,2017,3.37331,1.79364,Asia
Albania,2015,3.43797,1.95163,Europe
Albania,2017,3.61173,2.08063,Europe
Andorra,2015,3.28035,0.72416,Europe
Andorra,2016,3.23707,0.69609,Europe
Andorra,2017,3.21709,0.7093,Europe
Andorra,2018,3.24672,0.69546,Europe
Argentina,2015,5.77611,1.73522,South America
Argentina,2016,5.54549,1.66775,South America
Argentina,2017,5.45432,1.61653,South America
Armenia,2015,2.80591,0.5432,Asia
Armenia,2016,2.75812,0.56999,Asia
Armenia,2017,2.70759,0.52456,Asia
Aruba,2015,5.88827,1.42467,North America
Aruba,2016,5.49135,1.52057,North America
Australia,2015,5.31584,1.68815,Oceania
Australia,2016,5.28623,1.74087,Oceania
Australia,2017,5.13681,1.70396,Oceania
Austria,2015,5.45658,0.90404,Europe
Austria,2016,5.47962,0.91041,Europe
Austria,2017,5.37159,0.90578,Europe
Bahrain,2015,2.67454,0.88012,Asia
Barbados,2016,4.70732,1.46593,Asia
Belgium,2015,6.45157,1.51842,Europe
Belgium,2016,6.46173,1.53812,Europe
Belgium,2017,6.42534,1.52471,Europe
Belize,2015,6.87015,2.26665,North America
Belize,2016,7.29365,2.40627,North America
Belize,2017,7.45028,2.35666,North America
Belize,2018,7.47227,2.36524,North America
Benin,2015,3.17298,1.58042,Africa
Bermuda,2015,1.50164,0.52138,North America
Bermuda,2017,1.32496,0.4825,North America
Brazil,2015,6.24106,1.59865,South America
Brazil,2016,6.31404,1.62088,South America
Brazil,2017,6.32048,1.57747,South America
British Virgin Islands,2015,4.71406,0.85053,North America
British Virgin Islands,2017,2.4626,0.70432,North America
British Virgin Islands,2018,2.43439,0.72208,North America
Brunei,2016,4.42541,0.86396,North America
Bulgaria,2017,4.07527,0.80885,North America
Burkina Faso,2015,3.67009,2.12381,Africa
Canada,2015,4.73938,1.83267,North America
Cape Verde,2015,5.26691,2.07767,Africa
Cape Verde,2016,5.28879,2.0671,Africa
Cape Verde,2017,5.18175,1.97396,Africa
Chad,2018,2.25948,1.03007,Africa
Chile,2015,4.87531,1.2488,South America
Chile,2016,5.34201,1.5002,South America
Chile,2017,5.41966,1.51059,South America
Colombia,2015,4.47039,1.64169,South America
Colombia,2016,4.47721,1.61093,South America
Colombia,2017,4.53551,1.58775,South America
Colombia,2018,4.4491,1.45803,South America
Comoros,2015,2.54506,1.38991,Africa
Costa Rica,2015,6.8735,2.60909,North America
Costa Rica,2016,6.89396,2.41497,North America
Costa Rica,2017,7.06981,2.11571,North America
Costa Rica,2018,6.76992,2.0011,North America
Cote d'Ivoire,2015,3.49416,1.44681,Africa
Cote d'Ivoire,2016,3.97232,1.76574,Africa
Cote d'Ivoire,2017,3.80348,1.50333,Africa
Cote d'Ivoire,2018,3.23994,1.53991,Africa
Croatia,2017,3.85476,1.64654,Africa
Cyprus,2015,6.32613,2.044,Europe
Cyprus,2016,6.14541,2.01837,Europe
Cyprus,2017,5.71853,1.88125,Europe
Czechia,2015,5.75182,0.76881,Europe
Czechia,2016,5.55373,0.73974,Europe
Czechia,2017,3.80616,0.81212,Europe
Denmark,2017,7.75244,1.932,Europe
Djibouti,2016,3.92439,1.68105,Europe
Dominica,2015,3.40858,1.56211,North America
Dominican Republic,2015,3.81624,1.83447,North America
Dominican Republic,2016,3.8505,1.87044,North America
Dominican Republic,2017,3.92027,1.65521,North America
Dominican Republic,2018,3.92849,1.77502,North America
Ecuador,2015,4.9987,1.16245,South America
Ecuador,2016,4.36275,1.12532,South America
Ecuador,2018,4.62146,1.26954,South America
El Salvador,2015,3.90988,1.58915,North America
El Salvador,2016,3.82524,1.80477,North America
El Salvador,2017,3.72523,1.69893,North America
El Salvador,2018,3.60575,1.65844,North America
Estonia,2015,5.14419,1.21859,Europe
Estonia,2016,5.15764,1.29095,Europe
Estonia,2017,4.96132,1.38034,Europe
Ethiopia,2015,4.73792,1.30069,Africa
Finland,2015,7.03208,1.42358,Europe
Finland,2016,6.85153,1.40533,Europe
Finland,2017,6.36311,1.34143,Europe
France,2017,5.4516,1.157,Europe
Gambia,2015,2.16003,1.20609,Africa
Germany,2015,4.85515,0.62531,Europe
Germany,2016,4.83923,0.6254,Europe
Germany,2017,4.87183,0.63432,Europe
Greece,2015,3.66139,1.20533,Europe
Greece,2016,3.9702415,1.21452,Europe
Greece,2017,3.47709,1.17909,Europe
Grenada,2017,3.1738,0.99403,Europe
Guatemala,2015,3.03033,1.51261,North America
Guatemala,2016,2.94474,1.63331,North America
Guatemala,2017,2.9501,1.66703,North America
Guatemala,2018,3.13705,1.74632,North America
Guinea,2015,2.51714,0.97996,Africa
Guinea,2016,2.5445,1.03109,Africa
Guinea,2017,2.32034,0.93915,Africa
Guinea,2018,2.38432,1.42772,Africa
Hong Kong,2015,3.26212,0.6831,Asia
Hong Kong,2016,3.29265,0.7025,Asia
Hong Kong,2017,3.3101,0.71807,Asia
Hong Kong,2018,3.32652,0.73453,Asia
Hungary,2015,4.4941,0.74088,Europe
Hungary,2016,4.61454,0.755,Europe
Hungary,2017,4.6141,0.66594,Europe
Iceland,2015,7.45797,2.1508,Europe
Iceland,2016,7.4322,2.09414,Europe
Iceland,2017,7.58386,2.22269,Europe
Indonesia,2015,3.5836,1.52661,Asia
Iran,2015,2.79739,0.74786,Asia
Iran,2016,3.36576,0.97111,Asia
Iran,2017,3.7904,1.14184,Asia
Iran,2018,3.95536,1.30822,Asia
Ireland,2015,3.75877,1.38566,Europe
Ireland,2016,3.74212,1.38809,Europe
Ireland,2017,3.50929,1.21354,Europe
Israel,2015,5.86211,2.2695,Asia
Israel,2016,5.85578,2.27903,Asia
Israel,2017,6.05791,2.38967,Asia
Italy,2015,4.07363,1.01727,Europe
Italy,2016,3.81579,0.91371,Europe
Italy,2017,4.04494,0.98343,Europe
Jamaica,2015,5.45521,2.00134,North America
Jamaica,2016,5.31461,1.90673,North America
Jamaica,2017,5.26017,1.99262,North America
Jamaica,2018,5.41381,1.84993,North America
Japan,2016,3.14643,1.11898,North America
Japan,2017,3.13058,1.11637,North America
Jordan,2016,3.45282,1.63448,North America
Jordan,2017,3.22854,1.53203,North America
Jordan,2018,2.98481,1.51576,North America
Kazakhstan,2017,2.75082,0.01943,North America
Kazakhstan,2018,2.61595,0.01721,North America
Kenya,2015,4.7435,1.91555,Africa
Latvia,2015,5.28252,1.5989,Europe
Latvia,2016,4.6575,1.50901,Europe
Latvia,2017,4.36671,1.34621,Europe
Lesotho,2018,7.28536,3.90876,Europe
Liberia,2015,2.17083,0.61906,Africa
Liberia,2016,2.14813,2.12372,Africa
Liberia,2018,2.50391,1.09535,Africa
Lithuania,2015,4.22719,0.69997,Europe
Lithuania,2016,4.00431,0.75651,Europe
Lithuania,2017,3.8122,0.73772,Europe
Luxembourg,2015,3.76792,1.23809,Europe
Luxembourg,2017,3.48646,1.04796,Europe
Malawi,2015,5.60866,2.46509,Africa
Malawi,2016,4.74857,2.08558,Africa
Malaysia,2015,4.89487,1.62495,Asia
Malaysia,2016,4.75192,1.60553,Asia
Malaysia,2017,4.67531,1.57897,Asia
Malaysia,2018,4.47865,1.52523,Asia
Maldives,2015,3.88751,1.73192,Asia
Maldives,2016,3.68699,1.49214,Asia
Mali,2015,3.80152,1.71569,Africa
Mali,2016,3.09478,1.22539,Africa
Mali,2017,3.78977,1.6918,Africa
Malta,2015,5.02398,1.26626,Europe
